Player,Season,Position,Team,Out,Probable,Questionable
Aaron Kampman,2006,DE,Packers,0,1,0
Abdul Hodge,2006,LB,Packers,0,0,1
Adalius Thomas,2006,LB,Ravens,0,1,1
Adam Snyder,2006,T,49ers,1,0,0
Ahman Green,2006,RB,Packers,0,1,0
Al Wilson,2006,LB,Cowboys,0,1,0
Alex Smith,2006,TE,Buccaneers,0,0,0
Anthony Adams,2006,DT,49ers,0,1,0
Anthony Davis,2006,T,Buccaneers,0,0,1
Ashley Lelie,2006,WR,Falcons,0,1,0
Atari Bigby,2006,S,Packers,0,0,1
Ben Roethlisberger,2006,QB,Steelers,1,0,0
Benny Sapp,2006,CB,Chiefs,0,0,1
Blaine Saipaia,2006,G,Lions,0,0,1
Bob Sanders,2006,S,Colts,0,0,2
Bobbie Williams,2006,G,Bengals,1,0,0
Bobby Engram,2006,WR,Seahawks,0,0,1
Brandon Marshall,2006,WR,Cowboys,0,1,0
Brian Russell,2006,S,Browns,0,1,0
Brian Simmons,2006,LB,Bengals,0,1,0
Brian Waters,2006,G,Broncos,0,1,0
Brian Westbrook,2006,RB,Eagles,0,1,0
Brooks Bollinger,2006,QB,Vikings,0,0,1
Casey Rabach,2006,C,Redskins,0,1,0
Cedric Cobbs,2006,RB,Cowboys,0,1,0
Cedric Griffin,2006,CB,Vikings,0,0,0
Cedrick Wilson,2006,WR,Steelers,1,0,0
Chad Clifton,2006,T,Packers,0,1,0
Channing Crowder,2006,LB,Dolphins,0,1,0
Charles Woodson,2006,CB,Packers,0,1,0
Charlie Frye,2006,QB,Browns,0,0,1
Chaun Thompson,2006,LB,Browns,0,1,0
Chester Taylor,2006,RB,Vikings,0,1,0
Chidi Iwuoma,2006,CB,Steelers,0,1,0
Chris Gray,2006,G,Cowboys,0,0,1
Chukky Okobi,2006,C,Steelers,0,1,0
Cooper Carlisle,2006,G,Cowboys,0,0,1
Corey Hulsey,2006,G,Raiders,0,0,1
D.J. Hackett,2006,WR,Cowboys,0,0,1
Dallas Clark,2006,TE,Colts,0,0,1
Dan Cody,2006,LB,Ravens,1,0,0
Daniel Federkeil,2006,T,Colts,0,0,1
Daniel Wilcox,2006,TE,Ravens,0,0,1
Dante Hall,2006,WR,Chiefs,0,1,0
Darrell Jackson,2006,WR,Cowboys,0,0,1
Darrell Jackson,2006,WR,Seahawks,1,0,0
Darrent Williams,2006,CB,Cowboys,0,0,1
Daunte Culpepper,2006,QB,Dolphins,1,0,0
Dave Moore,2006,TE,Buccaneers,0,0,1
David Bowens,2006,DE,Dolphins,0,1,0
David Martin,2006,TE,Packers,0,0,1
DeAngelo Hall,2006,CB,Falcons,0,1,0
Dedrick Roper,2006,LB,Eagles,0,1,0
Deltha O'Neal,2006,CB,Bengals,0,0,1
Derek M. Smith,2006,LB,49ers,1,0,0
Derrick Johnson,2006,LB,Broncos,0,0,1
Devale Ellis,2006,WR,Lions,0,0,1
Donald Driver,2006,WR,Packers,0,1,0
Eddie Drummond,2006,WR,Lions,0,0,1
Edgerton Hartwell,2006,LB,Falcons,0,1,0
Ellis Wyms,2006,DT,Buccaneers,0,0,0
Eric Johnson,2006,TE,49ers,1,0,0
Fabian Washington,2006,CB,Raiders,0,0,1
Floyd Womack,2006,G,Cowboys,0,0,1
Floyd Womack,2006,G,Seahawks,0,0,1
Gary Brackett,2006,LB,Colts,0,0,1
Gerome Sapp,2006,S,Ravens,0,1,0
Grady Jackson,2006,DT,Falcons,0,1,0
Hines Ward,2006,WR,Steelers,1,1,0
Itula Mili,2006,TE,Seahawks,1,0,0
Jamal Lewis,2006,RB,Ravens,0,0,1
Jason Webster,2006,CB,Falcons,0,0,1
Jeff Dugan,2006,TE,Vikings,0,1,0
Jeff Ulbrich,2006,LB,49ers,0,0,1
Jeno James,2006,G,Dolphins,1,0,0
Jerame Tuman,2006,TE,Steelers,0,0,0
Jereme Perry,2006,CB,Browns,0,0,1
Jeremiah Trotter,2006,LB,Eagles,0,1,0
Jeremy Shockey,2006,TE,Giants,0,0,1
Jerious Norwood,2006,RB,Falcons,0,0,1
Jerry Porter,2006,WR,Raiders,0,0,0
Jim Finn,2006,RB,Giants,0,1,0
Jimmy Wilkerson,2006,DE,Chiefs,1,0,0
Joe Berger,2006,G,Dolphins,1,0,0
Joe Horn,2006,WR,Saints,0,0,1
Joe Tafoya,2006,DE,Seahawks,0,1,0
John Thornton,2006,DT,Bengals,0,0,0
John Welbourn,2006,T,Chiefs,0,1,0
Jon Jansen,2006,T,Redskins,0,1,0
Jonas Jennings,2006,T,49ers,0,1,0
Jonathan Ogden,2006,T,Ravens,0,0,1
Joseph Addai,2006,RB,Colts,0,0,1
Juran Bolden,2006,CB,Buccaneers,0,0,1
Justin Bannan,2006,DT,Ravens,1,0,0
Justin Hamilton,2006,S,Browns,0,0,1
Keith Brooking,2006,LB,Falcons,0,1,0
Keith O'Neil,2006,LB,Colts,0,0,1
Keith Traylor,2006,DT,Dolphins,0,1,0
Kellen Winslow,2006,TE,Browns,0,0,1
Kelley Washington,2006,WR,Bengals,0,0,1
Kenard Lang,2006,DE,Cowboys,0,1,0
Kenoy Kennedy,2006,S,Lions,0,0,1
Kevin Boothe,2006,G,Raiders,0,1,0
Kevin Jones,2006,RB,Lions,0,0,1
Kevin Sampson,2006,T,Broncos,1,0,0
Kevin Williams,2006,DT,Vikings,0,1,0
Keydrick Vincent,2006,G,Ravens,0,0,2
Khary Campbell,2006,LB,Redskins,0,0,1
Kyle Johnson,2006,RB,Cowboys,0,1,0
Kyle Turley,2006,T,Chiefs,1,0,0
Leigh Bodden,2006,CB,Browns,0,1,0
Leroy Hill,2006,LB,Cowboys,0,0,1
Levi Jones,2006,T,Bengals,1,0,0
Lito Sheppard,2006,CB,Eagles,1,0,0
Marcus Robinson,2006,WR,Vikings,0,1,0
Marcus Trufant,2006,CB,Cowboys,0,0,0
Mark Tauscher,2006,T,Packers,0,0,1
Mason Unck,2006,LB,Browns,0,0,1
Max Starks,2006,T,Steelers,0,1,0
Michael Bennett,2006,RB,Chiefs,0,0,1
Michael Lehan,2006,CB,Dolphins,0,1,0
Michael Lewis,2006,S,Eagles,0,1,0
Michael Pittman,2006,RB,Buccaneers,0,0,1
Mike Bell,2006,RB,Cowboys,0,1,0
Mike Logan,2006,S,Steelers,0,1,0
Napoleon Harris,2006,LB,Vikings,0,1,0
Nate Burleson,2006,WR,Cowboys,0,1,0
Nick Ferguson,2006,S,Cowboys,1,0,0
Nick Harper,2006,CB,Colts,0,0,2
Oliver Hoyte,2006,RB,Cowboys,0,0,1
Omar Gaither,2006,LB,Eagles,0,1,0
Omar Stoutmire,2006,S,Saints,0,0,1
Orpheus Roye,2006,DE,Browns,1,0,0
Pat Williams,2006,DT,Vikings,0,1,0
Patrick Chukwurah,2006,DE,Cowboys,0,1,0
Quinn Sypniewski,2006,TE,Ravens,0,0,1
Randy McMichael,2006,TE,Dolphins,0,1,0
Randy Moss,2006,WR,Raiders,0,0,1
Reggie Wayne,2006,WR,Colts,0,0,1
Rich Braham,2006,C,Bengals,0,0,1
Rich Scanlon,2006,LB,Chiefs,1,0,0
Rich Seubert,2006,G,Giants,0,0,0
Ricky Proehl,2006,WR,Colts,0,0,2
Robbie Tobeck,2006,C,Seahawks,1,0,0
Robert Gallery,2006,T,Raiders,0,0,1
Robert Mathis,2006,DE,Colts,0,0,1
Rocky Bernard,2006,DT,Cowboys,0,1,0
Rocky Bernard,2006,DT,Seahawks,0,0,1
Rod Smith,2006,WR,Cowboys,0,1,0
Ronnie Brown,2006,RB,Dolphins,0,1,0
Ruvell Martin,2006,WR,Packers,0,0,1
Ryan Clark,2006,S,Steelers,1,0,0
Ryan Diem,2006,T,Colts,0,0,1
Ryan Lilja,2006,G,Colts,0,0,2
Ryan Moats,2006,RB,Eagles,0,1,0
Sam Adams,2006,DT,Bengals,0,1,0
Shaun Cody,2006,DT,Lions,0,0,0
Shawntae Spencer,2006,CB,49ers,0,1,0
Shelton Quarles,2006,LB,Buccaneers,0,0,1
Simeon Rice,2006,DE,Buccaneers,1,0,0
Tamba Hali,2006,DE,Broncos,0,1,0
Tarvaris Jackson,2006,QB,Vikings,0,1,0
Tatum Bell,2006,RB,Cowboys,0,1,0
Thomas Tapeh,2006,RB,Eagles,0,0,1
Todd Heap,2006,TE,Ravens,0,0,1
Todd McClure,2006,C,Falcons,0,1,0
Todd Weiner,2006,T,Falcons,0,1,0
Tony Gonzalez,2006,TE,Broncos,0,0,1
Tony Stewart,2006,TE,Bengals,0,0,1
Tra Thomas,2006,T,Eagles,0,1,0
Travares Tillman,2006,S,Dolphins,1,0,0
Travis Daniels,2006,CB,Dolphins,0,0,0
Travis Taylor,2006,WR,Vikings,0,1,0
Trent Green,2006,QB,Chiefs,0,1,0
Troy Polamalu,2006,S,Steelers,1,0,0
