Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Itula Mili,2006,TE,Seahawks,1,1
Chidi Iwuoma,2006,CB,Steelers,1,1
Leroy Hill,2006,LB,Cowboys,1,1
Eddie Drummond,2006,WR,Lions,1,1
Orpheus Roye,2006,DE,Browns,1,0
Mike Logan,2006,S,Steelers,1,0
Max Starks,2006,T,Steelers,1,0
Michael Bennett,2006,RB,Chiefs,1,0
Michael Lehan,2006,CB,Dolphins,1,0
Patrick Chukwurah,2006,DE,Cowboys,1,0
Michael Lewis,2006,S,Eagles,1,0
Michael Pittman,2006,RB,Buccaneers,1,0
Mike Bell,2006,RB,Cowboys,1,0
Pat Williams,2006,DT,Vikings,1,0
Omar Stoutmire,2006,S,Saints,1,0
Napoleon Harris,2006,LB,Vikings,1,0
Mark Tauscher,2006,T,Packers,1,0
Nate Burleson,2006,WR,Cowboys,1,0
Nick Ferguson,2006,S,Cowboys,1,0
Nick Harper,2006,CB,Colts,2,0
Oliver Hoyte,2006,RB,Cowboys,1,0
Omar Gaither,2006,LB,Eagles,1,0
Mason Unck,2006,LB,Browns,1,0
Aaron Kampman,2006,DE,Packers,1,0
Randy McMichael,2006,TE,Dolphins,1,0
Marcus Trufant,2006,CB,Cowboys,1,0
Keith Brooking,2006,LB,Falcons,1,0
Keith O'Neil,2006,LB,Colts,1,0
Keith Traylor,2006,DT,Dolphins,1,0
Kellen Winslow,2006,TE,Browns,1,0
Kelley Washington,2006,WR,Bengals,1,0
Kenard Lang,2006,DE,Cowboys,1,0
Kenoy Kennedy,2006,S,Lions,1,0
Kevin Boothe,2006,G,Raiders,1,0
Kevin Jones,2006,RB,Lions,1,0
Kevin Sampson,2006,T,Broncos,1,0
Kevin Williams,2006,DT,Vikings,1,0
Keydrick Vincent,2006,G,Ravens,2,0
Khary Campbell,2006,LB,Redskins,1,0
Kyle Johnson,2006,RB,Cowboys,1,0
Kyle Turley,2006,T,Chiefs,1,0
Leigh Bodden,2006,CB,Browns,1,0
Levi Jones,2006,T,Bengals,1,0
Lito Sheppard,2006,CB,Eagles,1,0
Marcus Robinson,2006,WR,Vikings,1,0
Quinn Sypniewski,2006,TE,Ravens,1,0
Randy Moss,2006,WR,Raiders,1,0
Justin Bannan,2006,DT,Ravens,1,0
Tamba Hali,2006,DE,Broncos,1,0
Tatum Bell,2006,RB,Cowboys,1,0
Thomas Tapeh,2006,RB,Eagles,1,0
Todd Heap,2006,TE,Ravens,1,0
Todd McClure,2006,C,Falcons,1,0
Todd Weiner,2006,T,Falcons,1,0
Tony Gonzalez,2006,TE,Broncos,1,0
Tony Stewart,2006,TE,Bengals,1,0
Tra Thomas,2006,T,Eagles,1,0
Travares Tillman,2006,S,Dolphins,1,0
Travis Daniels,2006,CB,Dolphins,1,0
Travis Taylor,2006,WR,Vikings,1,0
Trent Green,2006,QB,Chiefs,1,0
Troy Polamalu,2006,S,Steelers,1,0
Troy Vincent,2006,S,Redskins,1,0
Warrick Dunn,2006,RB,Falcons,1,0
Wes Welker,2006,WR,Dolphins,1,0
Will Allen,2006,CB,Dolphins,1,0
Willie Colon,2006,T,Steelers,1,0
Willie McGinest,2006,LB,Browns,1,0
Tarvaris Jackson,2006,QB,Vikings,1,0
Simeon Rice,2006,DE,Buccaneers,1,0
Reggie Wayne,2006,WR,Colts,1,0
Shelton Quarles,2006,LB,Buccaneers,1,0
Rich Braham,2006,C,Bengals,1,0
Rich Scanlon,2006,LB,Chiefs,1,0
Rich Seubert,2006,G,Giants,1,0
Ricky Proehl,2006,WR,Colts,2,0
Robbie Tobeck,2006,C,Seahawks,1,0
Robert Gallery,2006,T,Raiders,1,0
Robert Mathis,2006,DE,Colts,1,0
Rocky Bernard,2006,DT,Cowboys,1,0
Rocky Bernard,2006,DT,Seahawks,1,0
Rod Smith,2006,WR,Cowboys,1,0
Ronnie Brown,2006,RB,Dolphins,1,0
Ruvell Martin,2006,WR,Packers,1,0
Ryan Clark,2006,S,Steelers,1,0
