Player,Season,Position,Team,TotalInjuryCount
Keydrick Vincent,2006,G,Ravens,2
Adalius Thomas,2006,LB,Ravens,2
Ryan Lilja,2006,G,Colts,2
Ricky Proehl,2006,WR,Colts,2
Nick Harper,2006,CB,Colts,2
Hines Ward,2006,WR,Steelers,2
Bob Sanders,2006,S,Colts,2
Aaron Kampman,2006,DE,Packers,1
Max Starks,2006,T,Steelers,1
Michael Bennett,2006,RB,Chiefs,1
Michael Lehan,2006,CB,Dolphins,1
Michael Lewis,2006,S,Eagles,1
Michael Pittman,2006,RB,Buccaneers,1
Mike Bell,2006,RB,Cowboys,1
Mike Logan,2006,S,Steelers,1
Nate Burleson,2006,WR,Cowboys,1
Napoleon Harris,2006,LB,Vikings,1
Nick Ferguson,2006,S,Cowboys,1
Oliver Hoyte,2006,RB,Cowboys,1
Omar Gaither,2006,LB,Eagles,1
Omar Stoutmire,2006,S,Saints,1
Orpheus Roye,2006,DE,Browns,1
Pat Williams,2006,DT,Vikings,1
Patrick Chukwurah,2006,DE,Cowboys,1
Mason Unck,2006,LB,Browns,1
Marcus Trufant,2006,CB,Cowboys,1
Mark Tauscher,2006,T,Packers,1
Randy McMichael,2006,TE,Dolphins,1
Keith Brooking,2006,LB,Falcons,1
Keith O'Neil,2006,LB,Colts,1
Keith Traylor,2006,DT,Dolphins,1
Kellen Winslow,2006,TE,Browns,1
Kelley Washington,2006,WR,Bengals,1
Kenard Lang,2006,DE,Cowboys,1
Kenoy Kennedy,2006,S,Lions,1
Kevin Boothe,2006,G,Raiders,1
Kevin Jones,2006,RB,Lions,1
Kevin Sampson,2006,T,Broncos,1
Kevin Williams,2006,DT,Vikings,1
Khary Campbell,2006,LB,Redskins,1
Kyle Johnson,2006,RB,Cowboys,1
Kyle Turley,2006,T,Chiefs,1
Leigh Bodden,2006,CB,Browns,1
Leroy Hill,2006,LB,Cowboys,1
Levi Jones,2006,T,Bengals,1
Lito Sheppard,2006,CB,Eagles,1
Marcus Robinson,2006,WR,Vikings,1
Quinn Sypniewski,2006,TE,Ravens,1
Reggie Wayne,2006,WR,Colts,1
Randy Moss,2006,WR,Raiders,1
Travis Daniels,2006,CB,Dolphins,1
Thomas Tapeh,2006,RB,Eagles,1
Todd Heap,2006,TE,Ravens,1
Todd McClure,2006,C,Falcons,1
Todd Weiner,2006,T,Falcons,1
Tony Gonzalez,2006,TE,Broncos,1
Tony Stewart,2006,TE,Bengals,1
Tra Thomas,2006,T,Eagles,1
Travares Tillman,2006,S,Dolphins,1
Travis Taylor,2006,WR,Vikings,1
Tarvaris Jackson,2006,QB,Vikings,1
Trent Green,2006,QB,Chiefs,1
Troy Polamalu,2006,S,Steelers,1
Troy Vincent,2006,S,Redskins,1
Warrick Dunn,2006,RB,Falcons,1
Wes Welker,2006,WR,Dolphins,1
Will Allen,2006,CB,Dolphins,1
Willie Colon,2006,T,Steelers,1
